"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.106997480131808,0.104414071252521,0.0996607294317218,0.0972667295004713,0.101002991377793,0.107645259938838,0.100681468454605,0.0995841995841996,0.102073005858495,0.110435189518016,0.0985448517222325,0.100776914539401,0.0981735159817352,0.0986141795541273,0.103240391861341
"2",0.202752471409188,0.196728657853462,0.185750636132316,0.210367577756833,0.199366531761394,0.195514780835882,0.193449109694438,0.200831600831601,0.210455159981974,0.196303228825456,0.201510407073126,0.20377358490566,0.193026151930262,0.20907812813818,0.199698568198945
"3",0.289591006008916,0.30427963253417,0.294529262086514,0.304241281809614,0.302305120534929,0.306014271151886,0.293471092547813,0.291268191268191,0.300811176205498,0.311651848385587,0.312027997789648,0.312097669256382,0.306973848069738,0.298252661176943,0.297412710374278
"4",0.401240550494282,0.396594219135111,0.402671755725191,0.399057492931197,0.393982051733239,0.4,0.398329303143548,0.402702702702703,0.40806669671023,0.405474964904071,0.400626266347394,0.390677025527192,0.398090493980905,0.387828881301466,0.402662647575986
"5",0.490017445241326,0.506609903652252,0.503392705682782,0.502167766258247,0.496744677107162,0.495412844036697,0.497911628929435,0.496881496881497,0.500901306894998,0.49298081422555,0.501749861853012,0.497225305216426,0.502698215026982,0.50030126531432,0.498869630746044
"6",0.601279317697228,0.592650683396818,0.601993214588634,0.600377002827521,0.603202533872954,0.588583078491335,0.599692240052759,0.593347193347193,0.598242451554754,0.598970519419747,0.608215140909928,0.598446170921199,0.60772104607721,0.589676641895963,0.605877920120573
"7",0.704593913549137,0.698633206363433,0.695928753180662,0.694062205466541,0.702973781453458,0.706014271151886,0.692240052758848,0.697089397089397,0.68814781433078,0.703556387459055,0.694050469699761,0.691009988901221,0.696139476961395,0.693512753564973,0.710876664154735
"8",0.790850940104671,0.792964373739637,0.804495335029686,0.796229971724788,0.813302833010734,0.804689092762487,0.792921521213453,0.814137214137214,0.796755295178008,0.806036499766027,0.804568060416283,0.8,0.803860523038605,0.79192608957622,0.804069329314243
"9",0.904245008722621,0.90029128388976,0.907336726039016,0.901036757775683,0.896709484427239,0.893781855249745,0.900637502747857,0.9,0.901306894997747,0.883715489003276,0.901823540246823,0.896115427302997,0.903279369032794,0.898774854388431,0.892991710625471
"10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
