"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.0990774167669475,0.0992992992992993,0.0994128366066005,0.0961923847695391,0.10459587955626,0.0970600080547725,0.106655974338412,0.0982231982431623,0.0989448536731037,0.101824012828222
"2",0.148616125150421,0.151751751751752,0.143348856043734,0.162725450901804,0.145800316957211,0.148006443817962,0.157578187650361,0.15072868836095,0.141947043599443,0.148727199839647
"3",0.179903730445247,0.194394394394394,0.194978740635756,0.185170340681363,0.192353407290016,0.193314538864277,0.200080192461909,0.185266520263526,0.193111686243281,0.195830827821207
"4",0.255314881668672,0.243843843843844,0.234865357359789,0.243687374749499,0.233359746434231,0.241441804269029,0.230152365677626,0.240167698143342,0.243679076249253,0.239727400280617
"5",0.300040112314481,0.289289289289289,0.291556995343187,0.285971943887776,0.286846275752773,0.287958115183246,0.305733761026463,0.293272110201637,0.281505076647422,0.288234115053117
"6",0.334737264340152,0.343943943943944,0.349260984004859,0.337875751503006,0.335974643423138,0.342529198550141,0.329390537289495,0.334198442802955,0.33983675094565,0.33273201042293
"7",0.376253509827517,0.379179179179179,0.378619153674833,0.378356713426854,0.381735340729002,0.368304470398711,0.370088211708099,0.387702136154921,0.39319131992833,0.38685107235919
"8",0.410148415563578,0.439239239239239,0.438347843693055,0.430861723446894,0.425118858954041,0.423681031010874,0.428428227746592,0.428828109403074,0.429225562412901,0.421527360192423
"9",0.481347773766546,0.472872872872873,0.480259161773638,0.473346693386774,0.482765451664025,0.492347966169956,0.481756214915798,0.47913755240567,0.486163647222775,0.483463619963921
"10",0.528479743281187,0.535935935935936,0.519740838226362,0.534068136272545,0.524167987321712,0.526782118405155,0.518644747393745,0.517268915951288,0.532948437188931,0.530968129885749
"11",0.564380264741276,0.575775775775776,0.569548491597489,0.581963927855711,0.56418383518225,0.579540877970197,0.571972734562951,0.573168297065282,0.58112681664344,0.578272198837442
"12",0.629963898916967,0.620820820820821,0.620570965782547,0.61563126252505,0.629160063391442,0.624446234393878,0.622293504410585,0.593731283689359,0.622934501294047,0.626378031669673
"13",0.67428800641797,0.678478478478479,0.67665519335898,0.686172344689379,0.670958795562599,0.654450261780105,0.653167602245389,0.667797963665402,0.658769659565996,0.660252555622369
"14",0.718612113918973,0.711111111111111,0.722210973881352,0.719238476953908,0.711767036450079,0.717478856222312,0.70990376904571,0.704132561389499,0.708938881146725,0.708759270394869
"15",0.751103088648215,0.762962962962963,0.748734561652156,0.762725450901804,0.766244057052298,0.767821184051551,0.766840417000802,0.761629067678179,0.764682460680868,0.766486269793546
"16",0.80806257521059,0.8002002002002,0.807248430856449,0.806813627254509,0.814381933438986,0.812323801852598,0.814755412991179,0.808145338390896,0.812860840135377,0.810783724193225
"17",0.859205776173285,0.846646646646647,0.855031382871027,0.854108216432866,0.856576862123613,0.851389448248087,0.863672814755413,0.858454781393492,0.858252040613179,0.864902786129485
"18",0.896710790212595,0.906106106106106,0.903624215428224,0.911623246492986,0.912044374009509,0.905557792992348,0.901764234161989,0.912557396685965,0.903045988453116,0.896572459410704
"19",0.954271961492178,0.952352352352352,0.951407167442802,0.956112224448898,0.951069730586371,0.952074103906565,0.954891740176423,0.951686963465762,0.954409715309576,0.955502104630186
"20",1,1,1,1,1,1,1,1,1,1
